nom;lat;lon
30136;43.761724451;4.11736321
30138;43.804495726;4.255729763
30141;44.102854344;4.663645549
30143;44.300522267;4.504658812
30145;43.908564965;4.515653408
30146;43.985815614;4.108273749
30147;44.012361097;4.051387909
30150;43.946524176;4.024698233
30155;43.805341297;4.488499277
30156;43.861310247;4.449320414
30160;44.005567456;4.134535111
30162;44.016191404;4.021587842
30163;43.955260477;4.162468311
30166;43.877095689;4.554271156
30169;43.789415024;4.308938189
30172;43.996565557;3.878800555
30174;44.044876352;4.383444066
30177;44.089127074;4.181531627
30179;43.875176536;4.591991121
30181;43.903154178;4.117513684
30182;43.854044028;4.159274654
30183;43.925475052;4.129631337
30184;43.977569189;4.234927336
30185;43.736619595;4.202381106
30189;43.844657847;4.347591011
30191;44.134860428;4.664402949
30197;44.140519279;4.212340604
30200;43.89600819;3.859769365
30202;44.252525241;4.639277042
30205;44.091576123;4.509101058
30207;44.039042592;4.581053189
30208;43.943747826;4.055856413
30209;43.9995667;4.764683854
30210;43.918337479;3.997111173
30211;43.834436564;4.512780077
30212;43.940895872;4.564758759
30214;44.041942612;4.085195319
30217;43.981411739;4.681036904
30221;44.041721132;4.756730953
30222;44.190624071;4.518855327
30225;44.150362673;4.551555771
30226;44.224020687;4.631650272
30228;43.931340032;4.342168151
30230;44.240616898;4.447497307
30240;44.036455449;4.202199838
30241;43.967363293;4.27517859
30242;44.266281403;4.514023062
30243;44.083924914;4.076184824
30244;43.827662498;4.025821012
30245;43.831349039;4.188126357
30248;43.995348494;4.265185353
30251;44.179025139;4.700509528
30255;43.946352914;4.212437569
30256;44.195207001;4.579305349
30258;43.657805591;4.407426996
30259;44.092104028;4.123180213
30260;43.972634965;4.599829451
30263;43.953520502;3.852736818
30265;43.966531747;3.998379026
30266;44.267321588;4.299823411
30267;43.98941254;4.076377392
30273;44.2831558;4.567970039
30275;44.100404152;4.235841061
30276;43.570885537;4.242706007
30277;44.225694526;4.531811933
30279;44.111358174;4.461429118
30281;43.883209782;4.173385699
30282;44.142235267;4.484584062
30285;44.03496649;4.242393939
30286;43.988138314;4.455942008
30287;44.205509075;4.551291126
30288;44.200255667;4.622981625
30289;43.980508531;4.015688361
30290;44.260927999;4.586732869
30292;44.099282433;4.554400062
30294;44.142006968;4.130552258
30295;44.057200163;4.438459591
30299;44.015440984;4.468507578
30302;44.055206704;4.641816189
30306;43.811817444;4.066453204
30309;43.866862506;4.034861517
30312;44.016359927;4.808794037
30314;43.966310484;4.080324453
30315;43.944830667;4.697938858
30317;43.911614281;4.560844711
30321;43.775515905;4.082501166
30324;43.81956203;4.135328536
30326;44.009320427;4.69279273
30328;43.903938543;4.627095083
30330;44.018773972;3.984901373
30331;44.117352479;4.593085102
30334;44.013218996;4.416250746
30340;44.008376347;4.589851658
30341;43.625626772;4.305879996
30342;44.19864332;4.668478668
30344;43.737033226;4.233354398
30346;43.967166326;4.519310424
30347;43.735918122;4.264342477
30349;43.868066575;4.077152885
30351;43.976831532;4.794424924
30354;43.937347158;4.152897762
30355;44.076146471;4.616721817
30356;43.825669076;4.433844057
34001;43.457635463;3.299816331
34002;43.535005474;3.426029227
34003;43.309295818;3.48413177
34004;43.347960858;2.853529202
34006;43.326033683;2.79277504
34007;43.347888309;2.825312751
34009;43.468872961;3.33962295
34010;43.683376049;3.592224268
34011;43.720601194;3.475014024
34012;43.730812428;3.65262282
34013;43.567190207;3.448321556
34014;43.710446561;3.898270391
34015;43.40024822;2.886676394
34016;43.577640419;3.617426115
34018;43.500033193;3.167412624
34020;43.323839061;2.745510698
34022;43.658511399;4.010394149
34025;43.408679473;3.255403645
34026;43.304180549;2.76786125
34027;43.73033218;4.021702945
34028;43.612734226;3.166249797
34029;43.553938894;3.499355887
34030;43.49870426;2.950043462
34031;43.357093228;3.416018544
34032;43.347466978;3.230859725
34033;43.752449924;4.075940568
34035;43.654138489;3.644091149
34036;43.695979509;3.387223961
34037;43.379729229;3.263406087
34041;43.622058347;3.470762804
34042;43.867649016;3.705463904
34044;43.534573652;3.122249509
34047;43.540425377;3.493138231
34048;43.786441248;4.034187322
34051;43.598327941;3.483259105
34052;43.321894366;3.048051142
34056;43.435599633;3.470732215
34057;43.637724723;3.912419233
34058;43.68869789;3.979726316
34059;43.367441052;2.787196738
34060;43.793223784;3.629618066
34061;43.468122358;3.091318538
34062;43.548946769;3.155967506
34063;43.504757859;3.36766451
34065;43.42362519;3.029153384
34069;43.397636911;3.099410108
34070;43.40549152;2.988287853
34073;43.330017422;3.317248454
34074;43.454424304;3.040666458
34075;43.331394272;2.704254225
34076;43.649663984;3.461166305
34078;43.857252813;3.876855727
34079;43.634176826;3.412911953
34081;43.315461933;3.144036384
34082;43.672192358;3.778904511
34084;43.401924923;3.196989491
34085;43.450990329;3.274991171
34087;43.540286834;3.702724923
34088;43.569069825;3.707145303
34089;43.376655372;3.000480567
34092;43.35195551;2.93456814
34093;43.668844648;3.221515989
34094;43.43775813;3.258448497
34095;43.53413424;3.772142567
34096;43.569206252;3.183484732
34097;43.353886204;2.582495816
34101;43.385621713;3.463982673
34102;43.794379318;3.918964626
34103;43.542129033;3.390105629
34105;43.505359494;3.237256728
