;Year;Municipality;Yield;Huglin_Index;Hot_D;Very_Hot_D;Sever_Heat;Frost_D;Late_Frost;Sever_Frost;Climatic_Dryness_Index;Soil_Water_Stock;Soil_pH;cluster
2850;2017;11198;39,12666205;2113,663;21;0;0;16;0;0;-204,6805295;80,94908798;8,236856558;1
2851;2017;11215;67,40774194;2113,663;21;0;0;16;0;0;-204,6805295;87,88791618;8,017074513;1
2852;2017;11025;34,9457183;2113,663;21;0;0;16;0;0;-204,6805295;81,80151829;8,190622995;1
2853;2018;11215;89,85987477;2225,2635;29;0;2,5;6;0;0;-95,40948452;87,88791618;8,017074513;1
2854;2018;11198;61,97051923;2225,2635;29;0;2,5;6;0;0;-95,40948452;80,94908798;8,236856558;1
2855;2018;11025;55,3703133;2225,2635;29;0;2,5;6;0;0;-95,40948452;81,80151829;8,190622995;1
2856;2018;11426;69,91689373;2225,2635;29;0;2,5;6;0;0;-95,40948452;73,40830669;8,07764909;1
2857;2010;11315;56,68594595;2236,954;36;2;0,4;30;0;0;-302,3324895;98,98396428;8,192996126;6
2858;2010;11286;81,78687415;2236,954;36;2;0,4;30;0;0;-302,3324895;83,39810823;8,06981353;3
2859;2010;11342;74,46906965;2236,954;36;2;0,4;30;0;0;-302,3324895;119,1356808;8,292102354;6
2860;2010;11396;45,58865248;2236,954;36;2;0,4;30;0;0;-302,3324895;77,28077709;8,037929516;3
2861;2011;11396;69,39043825;2350,0995;29;0;0;7;0;0;-253,5993432;77,28077709;8,037929516;3
2862;2011;11342;87,98332125;2350,0995;29;0;0;7;0;0;-253,5993432;119,1356808;8,292102354;6
2863;2011;11286;86,08097166;2350,0995;29;0;0;7;0;0;-253,5993432;83,39810823;8,06981353;3
2864;2011;11315;78,3589172;2350,0995;29;0;0;7;0;0;-253,5993432;98,98396428;8,192996126;6
2865;2012;11396;79;2236,233;33;5;1,3;16;0;0;-280,8958058;77,28077709;8,037929516;3
2866;2012;11342;77,88882265;2236,233;33;5;1,3;16;0;0;-280,8958058;119,1356808;8,292102354;6
2867;2012;11286;83,63885288;2236,233;33;5;1,3;16;0;0;-280,8958058;83,39810823;8,06981353;3
2868;2012;11315;48,88043791;2236,233;33;5;1,3;16;0;0;-280,8958058;98,98396428;8,192996126;6
2869;2013;11286;83,29436358;2034,8165;22;0;0;17;0;0;-236,7062335;83,39810823;8,06981353;3
2870;2013;11396;74;2034,8165;22;0;0;17;0;0;-236,7062335;77,28077709;8,037929516;3
2871;2013;11342;82,85341246;2034,8165;22;0;0;17;0;0;-236,7062335;119,1356808;8,292102354;6
2872;2013;11315;62,33417979;2034,8165;22;0;0;17;0;0;-236,7062335;98,98396428;8,192996126;6
2873;2014;11396;62,87751004;2174,4845;10;0;0;4;0;0;-267,4725903;77,28077709;8,037929516;3
2874;2014;11315;43,54456255;2174,4845;10;0;0;4;0;0;-267,4725903;98,98396428;8,192996126;6
2875;2014;11342;82,54815842;2174,4845;10;0;0;4;0;0;-267,4725903;119,1356808;8,292102354;6
2876;2014;11286;85;2174,4845;10;0;0;4;0;0;-267,4725903;83,39810823;8,06981353;3
2877;2015;11342;83,09453072;2271,356;27;1;3,2;9;0;0;-326,0121944;119,1356808;8,292102354;6
2878;2015;11396;64,96383363;2271,356;27;1;3,2;9;0;0;-326,0121944;77,28077709;8,037929516;3
2879;2015;11315;54,31373543;2271,356;27;1;3,2;9;0;0;-326,0121944;98,98396428;8,192996126;6
2880;2015;11286;83,09334023;2271,356;27;1;3,2;9;0;0;-326,0121944;83,39810823;8,06981353;3
2881;2016;11286;83,41017366;2221,9675;28;0;0,3;4;0;0;-322,8485142;83,39810823;8,06981353;3
2882;2016;11315;40,44811321;2221,9675;28;0;0,3;4;0;0;-322,8485142;98,98396428;8,192996126;6
2883;2016;11396;50,796875;2221,9675;28;0;0,3;4;0;0;-322,8485142;77,28077709;8,037929516;3
2884;2016;11342;76,53422502;2221,9675;28;0;0,3;4;0;0;-322,8485142;119,1356808;8,292102354;6
2885;2017;11342;69,27040315;2254,3095;28;0;1,4;10;0;0;-330,267417;119,1356808;8,292102354;6
2886;2017;11286;79,43435317;2254,3095;28;0;1,4;10;0;0;-330,267417;83,39810823;8,06981353;3
2887;2017;11396;62,69217391;2254,3095;28;0;1,4;10;0;0;-330,267417;77,28077709;8,037929516;3
2888;2017;11315;24,03145161;2254,3095;28;0;1,4;10;0;0;-330,267417;98,98396428;8,192996126;6
2889;2018;11286;82,28511897;2391,9175;35;1;13,6;6;0;0;-209,4171101;83,39810823;8,06981353;3
2890;2018;11396;60,50619469;2391,9175;35;1;13,6;6;0;0;-209,4171101;77,28077709;8,037929516;3
2891;2018;11342;85,22303415;2391,9175;35;1;13,6;6;0;0;-209,4171101;119,1356808;8,292102354;6
2892;2018;11315;57,26045296;2391,9175;35;1;13,6;6;0;0;-209,4171101;98,98396428;8,192996126;6
2893;2010;11022;76,95708979;2304,3675;38;3;0,6;30;0;0;-311,8117677;97,33978418;8,213426476;6
2894;2010;11280;86,00176185;2304,3675;38;3;0,6;30;0;0;-311,8117677;88,80498011;8,180510001;6
2895;2010;11172;88,5143353;2304,3675;38;3;0,6;30;0;0;-311,8117677;117,2775026;8,229373212;6
2896;2010;11190;70,6693153;2304,3675;38;3;0,6;30;0;0;-311,8117677;119,4346362;8,205537776;6
2897;2010;11393;80,57272467;2304,3675;38;3;0,6;30;0;0;-311,8117677;114,877646;8,179249628;6
2898;2011;11172;89,89509805;2407,2645;32;0;0;7;0;0;-261,2526839;117,2775026;8,229373212;6
2899;2011;11022;85,58585721;2407,2645;32;0;0;7;0;0;-261,2526839;97,33978418;8,213426476;6
2900;2011;11393;86,71515617;2407,2645;32;0;0;7;0;0;-261,2526839;114,877646;8,179249628;6
2901;2011;11190;83,02686296;2407,2645;32;0;0;7;0;0;-261,2526839;119,4346362;8,205537776;6
2902;2011;11280;88,24245036;2407,2645;32;0;0;7;0;0;-261,2526839;88,80498011;8,180510001;6
2903;2012;11172;89,68705629;2298,342;34;5;1,6;18;0;0;-288,9981318;117,2775026;8,229373212;6
2904;2012;11022;74,98329484;2298,342;34;5;1,6;18;0;0;-288,9981318;97,33978418;8,213426476;6
2905;2012;11190;74,69792884;2298,342;34;5;1,6;18;0;0;-288,9981318;119,4346362;8,205537776;6
2906;2012;11280;86,30512769;2298,342;34;5;1,6;18;0;0;-288,9981318;88,80498011;8,180510001;6
2907;2012;11393;84,63015615;2298,342;34;5;1,6;18;0;0;-288,9981318;114,877646;8,179249628;6
2908;2013;11393;87,87198597;2100,685;29;0;0;16;0;0;-247,0083434;114,877646;8,179249628;6
2909;2013;11190;89,98904688;2100,685;29;0;0;16;0;0;-247,0083434;119,4346362;8,205537776;6
2910;2013;11172;89,84419206;2100,685;29;0;0;16;0;0;-247,0083434;117,2775026;8,229373212;6
2911;2013;11022;85,61467512;2100,685;29;0;0;16;0;0;-247,0083434;97,33978418;8,213426476;6
2912;2013;11280;87,6606421;2100,685;29;0;0;16;0;0;-247,0083434;88,80498011;8,180510001;6
2913;2014;11393;73,87739398;2234,997;11;0;0,2;3;0;0;-277,6419376;114,877646;8,179249628;6
2914;2014;11022;82,85576122;2234,997;11;0;0,2;3;0;0;-277,6419376;97,33978418;8,213426476;6
2915;2014;11280;86,14939968;2234,997;11;0;0,2;3;0;0;-277,6419376;88,80498011;8,180510001;6
2916;2014;11172;89,80972358;2234,997;11;0;0,2;3;0;0;-277,6419376;117,2775026;8,229373212;6
2917;2014;11190;90;2234,997;11;0;0,2;3;0;0;-277,6419376;119,4346362;8,205537776;6
2918;2015;11172;89,44669818;2327,6455;27;1;3,8;7;0;0;-334,2495342;117,2775026;8,229373212;6
