Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;30290;st paulet de caisson;30;7;occitanie;44,2609291;4,5867329;880;858;841;825;818;841;20,549997;21,191666;19,941666;21,641668;20,408333;20,549997;15,4166655;15,904166;14,841666;16,2250005;15,245833;15,4166655;10,283334;10,616666;9,741666;10,808333;10,083333;10,283334;10,266663
;11364;st polycarpe;11;1;occitanie;43,0324478;2,3004062;862;847;825;824;816;825;17,658333;18,266665;17,116667;18,65;17,558332;17,658333;13,3625;13,745832;12,829167;14,1208335;13,2583325;13,3625;9,066667;9,224999;8,541667;9,591667;8,958333;9,066667;8,591666
;34285;st pons de mauchiens;34;3;occitanie;43,5092621;3,5135107;650;644;623;620;609;623;20,716667;21,249998;20,225;21,65;20,558332;20,716667;16,258333;16,6374995;15,7791665;16,9916675;16,0875;16,258333;11,799999;12,025001;11,333333;12,333335;11,616668;11,799999;8,916668
;30294;st privat des vieux;30;5;occitanie;44,1420059;4,1305523;808;782;769;754;750;769;20,025;20,608332;19,424997;21,083332;19,866667;20,025;15,1249995;15,5666665;14,554165;15,891666;14,929167;15,1249995;10,224999;10,525001;9,683333;10,7;9,991667;10,224999;9,800001
;30295;st quentin la poterie;30;7;occitanie;44,0572014;4,4384594;864;845;827;811;803;827;20,183336;20,708334;19,558332;21,175001;19,966665;20,183336;15,233335;15,6333335;14,649999;15,975001;14,9874995;15,233335;10,283334;10,558333;9,741666;10,775001;10,008334;10,283334;9,900002
;34287;st saturnin de lucian;34;3;occitanie;43,7025108;3,4661787;664;652;632;626;620;632;20,275;20,800001;19,741667;21,233334;20,083334;20,275;15,8041665;16,179167;15,2833335;16,533333;15,6041675;15,8041665;11,333333;11,558333;10,825;11,833332;11,125001;11,333333;8,941667
;30299;st siffret;30;5;occitanie;44,0154419;4,4685078;861;845;827;810;801;827;20,408333;20,9;19,783333;21,341667;20,2;20,408333;15,429167;15,820833;14,845834;16,15;15,195834;15,429167;10,450001;10,741666;9,908335;10,958333;10,191668;10,450001;9,958332
;34289;st thibery;34;6;occitanie;43,3924561;3,4007108;611;612;585;584;574;585;21,233332;21,775;20,749998;22,166666;21,091667;21,233332;16,6958325;17,079166;16,233332;17,429166;16,541668;16,6958325;12,158333;12,383332;11,716666;12,691666;11,991669;12,158333;9,074999
;30228;ste anastasie;30;5;occitanie;43,9313393;4,3421683;827;814;793;779;769;793;20,516666;21;19,9;21,433334;20,275;20,516666;15,699999;16,0750005;15,1125;16,408334;15,441667;15,699999;10,883332;11,150001;10,325;11,383334;10,608334;10,883332;9,633334
;11340;ste eulalie;11;1;occitanie;43,2432175;2,20541;757;745;728;724;721;728;19,675001;20,266668;19,116669;20,691668;19,566668;19,675001;15,0083335;15,391667;14,475001;15,779167;14,9000015;15,0083335;10,341666;10,516666;9,833333;10,866666;10,233335;10,341666;9,333335
;11366;ste valiere;11;6;occitanie;43,2745514;2,8452199;617;624;596;596;590;596;20,608334;21,183334;20,066668;21,574999;20,45;20,608334;16,108334;16,475;15,5833345;16,8458325;15,9583335;16,108334;11,608334;11,766666;11,100001;12,116666;11,466667;11,608334;9
;34307;sussargues;34;7;occitanie;43,7097244;3,9935768;727;719;696;687;676;696;20,708332;21,2;20,15;21,59167;20,491667;20,708332;15,9166665;16,2875;15,3874995;16,6166685;15,6875005;15,9166665;11,125001;11,375;10,624999;11,641667;10,883334;11,125001;9,583331
;11386;talairan;11;3;occitanie;43,030056;2,6696219;710;712;680;683;675;683;18,966665;19,558332;18,416666;19,9;18,816666;18,966665;14,816666;15,1708325;14,2666665;15,5375;14,666666;14,816666;10,666667;10,783333;10,116667;11,175;10,516666;10,666667;8,299998
;66205;tautavel;66;3;occitanie;42,8135757;2,7193625;635;638;607;609;602;609;20,2;20,783335;19,658335;21,116669;20,058332;20,2;15,8416665;16,2125005;15,304168;16,5500015;15,6916665;15,8416665;11,483333;11,641666;10,950001;11,983334;11,325001;11,483333;8,716667
;30326;tavel;30;5;occitanie;44,0093193;4,6927929;863;851;830;812;799;830;20,508333;21,016666;19,883333;21,441668;20,300001;20,508333;15,5166665;15,9083325;14,9249995;16,2375005;15,2750005;15,5166665;10,525;10,799999;9,966666;11,033333;10,25;10,525;9,983333
;66207;terrats;66;2;occitanie;42,6027565;2,75984;618;613;585;588;578;588;20,883333;21,391665;20,341665;21,75;20,724998;20,883333;16,199999;16,5124985;15,6458325;16,8624995;16,020832;16,199999;11,516665;11,633332;10,95;11,974999;11,316666;11,516665;9,366668
;34309;teyran;34;7;occitanie;43,684742;3,9287095;709;700;676;669;658;676;20,841665;21,316668;20,291666;21,708334;20,633333;20,841665;16,079166;16,425001;15,545833;16,754167;15,8458335;16,079166;11,316667;11,533334;10,8;11,8;11,058334;11,316667;9,524998
;11390;thezan des corbieres;11;3;occitanie;43,0893059;2,7833378;649;658;623;626;620;626;19,866667;20,458332;19,333334;20,816668;19,725002;19,866667;15,6291665;15,9999985;15,095834;16,3625005;15,4958345;15,6291665;11,391666;11,541665;10,858334;11,908333;11,266667;11,391666;8,475001
;34310;thezan les beziers;34;5;occitanie;43,4133682;3,1574225;601;600;578;576;567;578;21,050001;21,591667;20,516666;21,983332;20,866665;21,050001;16,475;16,837501;15,9666665;17,2;16,2999995;16,475;11,899999;12,083335;11,416667;12,416668;11,733334;11,899999;9,150002
;30328;theziers;30;5;occitanie;43,9039383;4,6270952;802;794;773;758;743;773;21,449999;21,883331;20,808334;22,300001;21,175001;21,449999;16,383333;16,729166;15,779167;17,0541675;16,0958335;16,383333;11,316667;11,575001;10,75;11,808334;11,016666;11,316667;10,133332
;66210;thuir;66;6;occitanie;42,6433067;2,7585816;596;596;564;568;559;568;21,050001;21,575003;20,474998;21,924997;20,891668;21,050001;16,425;16,7458355;15,862499;17,087499;16,2458335;16,425;11,799999;11,916668;11,25;12,250001;11,599999;11,799999;9,250002
