Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total_avril_septembre;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;30211;redessan;30;5;occitanie;43,8344383;4,5127802;329;286;295;284;302;295;28,35;29,050001;27,516665;29,800001;28,25;28,35;22,633333;22,841667;21,7333325;23,583334;22,383334;22,633333;16,916666;16,633333;15,95;17,366667;16,516668;16,633333;11,716667
;30212;remoulins;30;5;occitanie;43,9408951;4,5647588;337;296;301;292;308;301;28,199999;29,000002;27,400002;29,750002;28,166666;28,199999;22,5166665;22,791668;21,641668;23,533335;22,3083325;22,5166665;16,833334;16,583334;15,883334;17,316668;16,449999;16,583334;11,616665
;30214;ribaute les tavernes;30;7;occitanie;44,0419426;4,0851955;330;286;286;281;298;286;27,066668;28,066666;26,416666;28,866669;27,166666;27,166666;21,508334;21,8666665;20,7583325;22,6500015;21,441666;21,508334;15,95;15,666667;15,099999;16,433334;15,716666;15,716666;11,45
;11314;rieux en val;11;3;occitanie;43,0783997;2,5405781;323;282;295;278;295;295;24,400002;25,533333;23,75;26,233335;24,633331;24,633331;19,7500015;20,166666;19,0166665;21,025001;19,8499985;19,8499985;15,100001;14,799999;14,283333;15,816667;15,066666;15,066666;9,566665
;11315;rieux minervois;11;6;occitanie;43,268795;2,5912392;275;240;249;237;252;249;26,666666;27,816666;26,049997;28,550001;26,883331;26,883331;21,416666;21,8333325;20,7083325;22,6916675;21,508332;21,508332;16,166666;15,849999;15,366668;16,833334;16,133333;16,133333;10,749998
;66164;rivesaltes;66;6;occitanie;42,7789345;2,8768525;226;194;207;193;204;204;27,383333;28,4;26,666666;29,066668;27,550001;27,550001;22,5333335;22,916666;21,7249995;23,7166675;22,5333345;22,5333345;17,683334;17,433332;16,783333;18,366667;17,516668;17,516668;10,033333
;30217;rochefort du gard;30;5;occitanie;43,981411;4,6810369;356;312;316;307;326;316;27,883333;28,699999;27,1;29,449999;27,849998;27,883333;22,1416665;22,4416665;21,2750005;23,1749995;21,9416655;22,1416665;16,4;16,183334;15,450001;16,9;16,033333;16,183334;11,699999
;30356;rodilhan;30;5;occitanie;43,8256683;4,4338441;322;279;288;278;294;288;28,466667;29,183334;27,700003;29,933332;28,4;28,466667;22,8083345;23,041667;21,950001;23,791666;22,583333;22,8083345;17,150002;16,9;16,199999;17,65;16,766666;16,9;11,566667
;34232;roquebrun;34;2;occitanie;43,5056496;3,0107703;295;255;265;253;269;265;24,666666;25,75;24,1;26,549997;24,816666;24,816666;20,141666;20,5416665;19,4666665;21,383332;20,1416665;20,1416665;15,616666;15,333333;14,833333;16,216667;15,466667;15,466667;9,349999
;11318;roquecourbe minervois;11;6;occitanie;43,2148094;2,6535141;266;234;243;230;244;243;26,716665;27,866669;26,116667;28,616667;26,966665;26,966665;21,5666655;21,9833335;20,8666665;22,8583335;21,6583325;21,6583325;16,416666;16,099998;15,616666;17,1;16,35;16,35;10,616665
;11322;roquefort des corbieres;11;3;occitanie;42,992115;2,9298918;249;216;227;215;226;226;25,716667;26,75;25,016668;27,449999;25,849998;25,849998;21,3;21,6916665;20,516668;22,5249995;21,299999;21,3;16,883333;16,633333;16,016668;17,6;16,75;16,75;9,099998
;30221;roquemaure;30;5;occitanie;44,0417213;4,756731;356;314;314;309;325;314;28,633331;29,549997;27,883333;30,333334;28,666664;28,666664;22,583332;22,916666;21,7583335;23,6916675;22,458332;22,583332;16,533333;16,283335;15,633334;17,050001;16,25;16,283335;12,383329
;11324;roubia;11;5;occitanie;43,2498169;2,7970073;246;216;223;212;225;223;27,15;28,216667;26,5;28,966665;27,266668;27,266668;22,033333;22,3916675;21,291667;23,2833325;22,0250005;22,033333;16,916666;16,566668;16,083334;17,6;16,783333;16,783333;10,483335
;34237;roujan;34;2;occitanie;43,510479;3,3095043;257;221;227;218;233;227;26,333336;27,333334;25,783335;28,116669;26,433334;26,433334;21,5583345;21,950001;20,9;22,7583345;21,5250005;21,5583345;16,783333;16,566668;16,016665;17,4;16,616667;16,616667;9,816667
;11327;roullens;11;1;occitanie;43,166275;2,2689047;326;286;294;280;295;294;25,300001;26,5;24,716667;27,166666;25,550001;25,550001;20,233334;20,7000005;19,5750005;21,5333335;20,3666675;20,3666675;15,166667;14,900001;14,433334;15,900001;15,183334;15,166667;10,383334
;11328;routier;11;1;occitanie;43,1062202;2,1317058;343;298;308;294;310;308;25,783335;27,016665;25,216665;27,666666;26,033333;26,033333;20,3500015;20,8249995;19,691666;21,6666665;20,475;20,475;14,916668;14,633334;14,166667;15,666667;14,916667;14,916667;11,116666
;11330;rustiques;11;1;occitanie;43,2180862;2,4796574;287;251;261;247;262;261;26,25;27,416666;25,650002;28,133333;26,516665;26,516665;21,0749995;21,4916665;20,383335;22,3583335;21,1999995;21,1999995;15,899999;15,566667;15,116668;16,583334;15,883334;15,883334;10,633331
;30225;sabran;30;7;occitanie;44,1503639;4,5515556;385;340;337;332;349;340;27,083334;28,099998;26,4;28,916666;27,199999;27,199999;21,408334;21,816666;20,6583335;22,583333;21,366666;21,408334;15,733334;15,533334;14,916667;16,25;15,533333;15,533334;11,666665
;11368;salleles cabardes;11;1;occitanie;43,3188057;2,4167922;313;273;283;270;285;283;25,65;26,816668;25,083334;27,566666;25,916666;25,916666;20,4666665;20,883334;19,791667;21,7416665;20,583333;20,583333;15,283333;14,95;14,5;15,916667;15,25;15,25;10,666666
;11369;salleles d aude;11;6;occitanie;43,2703362;2,9349368;244;211;220;209;222;220;27,166664;28,25;26,533333;29,016668;27,35;27,35;22,091666;22,4916675;21,3666665;23,3666665;22,1166665;22,1166665;17,016668;16,733335;16,2;17,716665;16,883333;16,883333;10,466667
;11370;salles d aude;11;6;occitanie;43,2363052;3,1071918;235;202;210;201;215;210;26,9;27,916666;26,316666;28,666666;27,033333;27,033333;22,0583335;22,458333;21,3916665;23,3166665;22,075;22,075;17,216667;17;16,466667;17,966667;17,116667;17,116667;9,916666
;66190;salses le chateau;66;3;occitanie;42,8372154;2,91587;239;207;220;205;216;216;26,366667;27,383333;25,65;28,083334;26,5;26,5;21,708334;22,0750005;20,916666;22,916667;21,6916665;21,708334;17,050001;16,766668;16,183332;17,75;16,883333;16,883333;9,616667
;11372;salsigne;11;1;occitanie;43,3215408;2,3574321;326;285;293;281;297;293;25,483335;26,65;24,916666;27,383337;25,75;25,75;20,2500005;20,66666575;19,575;21,525002;20,3583335;20,3583335;15,016666;14,6833315;14,233334;15,666667;14,966667;14,966667;10,783333
