Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total_avril_septembre;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34245;st chinian;34;2;occitanie;43,4212074;2,9318504;279;254;252;244;252;252;25,316668;26,433332;24,733335;26,983332;25,633333;25,633333;20,4500005;21,0499995;19,833334;21,6416665;20,6249995;20,6249995;15,583333;15,666667;14,933333;16,300001;15,616666;15,616666;10,016667
;30242;st christol de rodieres;30;7;occitanie;44,2662811;4,5140228;420;392;367;358;369;369;26;27,083334;25,483332;27,783335;26,283333;26,283333;20,408333;20,975;19,858333;21,591668;20,55;20,55;14,816666;14,866666;14,233334;15,400001;14,816667;14,816667;11,466666
;30243;st christol lez ales;30;7;occitanie;44,0839233;4,0761847;348;320;309;293;307;309;25,699999;26,700003;25,133333;27,366663;25,949999;25,949999;20,4999995;21,0333355;19,891667;21,5916645;20,591667;20,591667;15,3;15,366668;14,650001;15,816666;15,233335;15,3;10,649999
;30244;st clement;30;4;occitanie;43,8276634;4,0258212;310;281;277;260;273;277;26,449999;27,266668;25,800001;27,9;26,549997;26,549997;21,216666;21,6500005;20,541667;22,2250005;21,191665;21,216666;15,983333;16,033333;15,283333;16,550001;15,833333;15,983333;10,566664
;34247;st clement de riviere;34;7;occitanie;43,6868286;3,8429699;281;254;253;238;249;253;26,449999;27,316666;25,833334;27,9;26,583334;26,583334;21,4249995;21,908333;20,783334;22,458334;21,4416675;21,4416675;16,4;16,5;15,733334;17,016668;16,300001;16,4;10,183334
;11337;st couat d aude;11;6;occitanie;43,2083778;2,6375659;272;244;244;236;244;244;26,283333;27,450003;25,616667;27,966665;26,65;26,65;21,1166665;21,7250015;20,441667;22,341665;21,333334;21,333334;15,95;16;15,266667;16,716665;16,016668;16;10,65
;30248;st dezery;30;7;occitanie;43,9953499;4,2651854;343;314;304;288;303;304;27,066666;27,916664;26,466667;28,616667;27,233332;27,233332;21,4000005;21,8416645;20,7500005;22,4333335;21,4083325;21,4083325;15,733335;15,766665;15,033334;16,25;15,583333;15,733335;11,499997
;34249;st drezery;34;7;occitanie;43,7288589;3,9779215;295;268;265;250;263;265;26,583336;27,433334;25,949999;28,033333;26,71667;26,71667;21,3583345;21,8250005;20,6999995;22,375;21,3416685;21,3583345;16,133333;16,216667;15,45;16,716667;15,966667;16,133333;10,583337
;66172;st esteve;66;6;occitanie;42,7151375;2,8462417;234;206;212;202;207;207;26,683334;27,766668;26;28,233335;27,049997;27,049997;21,883334;22,4416675;21,166667;23,016668;22,049999;22,049999;17,083334;17,116667;16,333334;17,800001;17,050001;17,083334;9,966663
;34254;st felix de lodez;34;3;occitanie;43,6613083;3,4690142;268;239;238;225;235;238;26,783335;27,75;26,199999;28,366667;27;27;21,6750015;22,1916665;21,0416665;22,783333;21,75;21,75;16,566668;16,633333;15,883334;17,199999;16,5;16,566668;10,433332
;11342;st frichoux;11;6;occitanie;43,247879;2,5594385;274;248;247;239;247;247;26,133331;27,316668;25,516665;27,833334;26,550001;26,550001;20,9666655;21,591667;20,3249995;22,1916675;21,233333;21,233333;15,8;15,866666;15,133334;16,550001;15,916665;15,866666;10,683335
;34258;st genies de fontedit;34;3;occitanie;43,4688454;3,1748013;264;237;236;226;237;237;26,299997;27,333334;25,716667;27,916666;26,583334;26,583334;21,2499985;21,8083345;20,641667;22,3999995;21,383334;21,383334;16,2;16,283335;15,566667;16,883333;16,183334;16,2;10,383334
;30255;st genies de malgoires;30;7;occitanie;43,9463539;4,2124376;334;305;297;281;295;297;26,966667;27,833334;26,366667;28,466667;27,083334;27,083334;21,4;21,8416675;20,733333;22,416667;21,383334;21,4;15,833333;15,850001;15,099999;16,366667;15,683334;15,833333;11,250001
;34256;st genies des mourgues;34;7;occitanie;43,6973724;4,0376668;288;261;259;242;256;259;26,916666;27,699999;26,283333;28,300001;27,049997;27,049997;21,674999;22,1083335;21;22,6500005;21,6583325;21,674999;16,433332;16,516668;15,716667;17;16,266668;16,433332;10,616665
;66175;st genis des fontaines;66;2;occitanie;42,5496597;2,9199231;245;213;224;210;217;217;26,416666;27,433334;25,716667;27,91667;26,75;26,75;21,633333;22,1583335;20,8999995;22,7250015;21,7666675;21,7666675;16,85;16,883333;16,083332;17,533333;16,783335;16,85;9,9
;34259;st georges d orques;34;4;occitanie;43,616806;3,7739956;274;247;246;230;244;246;26,616667;27,449999;26,016668;28,050001;26,766668;26,766668;21,6416665;22,116667;21,008334;22,675001;21,6583345;21,6583345;16,666666;16,783335;16;17,300001;16,550001;16,666666;10,100002
;30256;st gervais;30;7;occitanie;44,1952057;4,5793052;395;368;349;335;350;350;26,950003;27,966667;26,41667;28,650002;27,183334;27,183334;21,2333345;21,766667;20,641668;22,375;21,3250005;21,3250005;15,516666;15,566667;14,866666;16,099998;15,466667;15,516666;11,666668
;30258;st gilles;30;6;occitanie;43,6578064;4,4074268;296;272;268;250;265;268;27,35;28,016668;26,699999;28,599998;27,366669;27,366669;22,275;22,6583345;21,583333;23,216666;22,1916675;22,275;17,2;17,300001;16,466667;17,833334;17,016666;17,2;10,166669
;11344;st hilaire;11;1;occitanie;43,0786743;2,3384914;375;334;334;322;331;334;23,666666;24,883333;23,066668;25,383333;24,15;24,15;18,8416665;19,483333;18,216667;20,0916665;19,1499995;19,1499995;14,016667;14,083333;13,366666;14,8;14,149999;14,083333;10,066667
;30260;st hilaire d ozilhan;30;5;occitanie;43,9726334;4,5998297;365;342;325;310;326;326;27,183332;27,983332;26,583334;28,66667;27,300001;27,300001;21,5166655;21,9416655;20,850001;22,533335;21,491667;21,5166655;15,849999;15,899999;15,116668;16,4;15,683333;15,849999;11,450002
;30259;st hilaire de brethmas;30;5;occitanie;44,0921059;4,1231804;348;320;309;293;307;309;26,516665;27,549997;25,983332;28,216667;26,800001;26,800001;20,9916655;21,5416655;20,3999995;22,133334;21,108334;21,108334;15,466666;15,533334;14,816667;16,050001;15,416667;15,466666;11,333335
;30263;st hippolyte du fort;30;4;occitanie;43,9535217;3,8527367;321;292;286;271;283;286;25,75;26,65;25,133333;27,316668;25,933332;25,933332;20,4833335;20,9666665;19,841666;21,5500005;20,524999;20,524999;15,216667;15,283333;14,549999;15,783333;15,116666;15,216667;10,716665
;30265;st jean de crieulon;30;5;occitanie;43,9665298;3,998379;323;293;287;271;284;287;26,099998;27,050001;25,483335;27,699999;26,283333;26,283333;20,791666;21,2833335;20,133334;21,8499995;20,816666;20,816666;15,483334;15,516666;14,783333;16;15,349999;15,483334;10,799999
