Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;11258;moussan;11;6;occitanie;43,2303925;2,9569743;595;575;543;566;559;566;21,508333;22,283333;20,816666;23,050001;21,616667;21,616667;17,0749995;17,4583335;16,3249995;18,2833335;17,1291665;17,1291665;12,641666;12,633334;11,833333;13,516666;12,641666;12,641666;8,975001
;11261;moux;11;3;occitanie;43,1723747;2,6458113;646;625;593;616;607;616;20,858334;21,674997;20,15;22,416666;20,991669;20,991669;16,429167;16,8374985;15,6708335;17,641667;16,525001;16,525001;12;12;11,191667;12,866668;12,058333;12;8,991669
;34178;murviel les beziers;34;5;occitanie;43,457901;3,1352408;603;585;556;571;566;571;21,508331;22,275;20,875;23,058329;21,616667;21,616667;16,983333;17,3999995;16,275;18,204165;17,0375;17,0375;12,458335;12,524999;11,675;13,350001;12,458333;12,458335;9,158332
;34179;murviel les montpellier;34;4;occitanie;43,6091194;3,7394903;681;658;621;640;630;640;20,975;21,666666;20,341665;22,466667;21,033335;21,033335;16,5999995;16,9916665;15,8916655;17,7791665;16,5750005;16,5999995;12,224999;12,316667;11,441666;13,091666;12,116666;12,224999;8,808336
;30185;mus;30;5;occitanie;43,736618;4,2023811;733;708;666;686;674;686;22,15;22,758337;21,416666;23,550001;22,116667;22,15;17,2208325;17,579169;16,4291665;18,3458335;17,1249995;17,2208325;12,291665;12,400001;11,441667;13,141666;12,133332;12,291665;9,858335
;11262;narbonne;11;6;occitanie;43,1650352;3,0202;570;552;522;547;534;547;21,308334;22,083334;20,641665;22,824999;21,416666;21,416666;17,208334;17,608334;16,479166;18,412499;17,2541665;17,2541665;13,108334;13,133334;12,316667;13,999999;13,091667;13,108334;8,308332
;34180;nebian;34;3;occitanie;43,599472;3,4375417;638;614;581;597;589;597;21,083334;21,808332;20,466665;22,625;21,158335;21,158335;16,7416675;17,129166;16,033333;17,933333;16,745834;16,745834;12,400001;12,45;11,600001;13,241666;12,333333;12,400001;8,758334
;34181;neffies;34;2;occitanie;43,5399132;3,3331137;626;605;571;588;582;588;20,916666;21,675001;20,308332;22,475;21,016668;21,016668;16,6541665;17,066667;15,962499;17,8625005;16,6833335;16,6833335;12,391667;12,458333;11,616666;13,250001;12,349999;12,391667;8,625001
;11264;nevian;11;6;occitanie;43,2039261;2,8859489;610;591;558;583;573;583;21,033335;21,833334;20,341667;22,583334;21,158333;21,158333;16,720834;17,1208335;15,9625;17,9291675;16,779167;16,779167;12,408333;12,408333;11,583333;13,275001;12,400001;12,408333;8,75
;34182;nezignan l eveque;34;6;occitanie;43,4215393;3,4039786;613;591;560;579;570;579;21,841665;22,6;21,258333;23,375;21,958334;21,958334;17,283332;17,7125;16,616667;18,4999985;17,3250005;17,3250005;12,724999;12,825;11,975001;13,624997;12,691667;12,724999;9,233335
