type_mvt;code_couleur;annee;volume;surface;code_cepage;cvi;rendement;commune;rendement_plafonne_RS;rendement_plafonne_RG_BL;Zone;code_departement;departement
REVE;BL;2011;250.0;0.0;VIOG;3400105680;;34001;0;90;5;34;Hérault
REVE;RG;2011;318.0;0.0;CASA;3403105850;;34031;0;90;6;34;Hérault
REVE;RS;2011;60.0;0.0;CINS;3024200650;;30242;100;0;7;30;Gard
REVE;BL;2011;352.0;0.0;VIOG;3431100190;;34311;0;90;6;34;Hérault
REVE;RG;2011;250.0;0.0;CASA;3031400490;;30314;0;90;7;30;Gard
REVE;RG;2011;100.0;0.0;GREN;3416215370;;34162;0;90;5;34;Hérault
REVE;RS;2011;30.0;0.0;GERS;3031702820;;30317;100;0;0;30;Gard
REVE;BL;2011;120.0;0.0;ROUS;3417811710;;34178;0;90;5;34;Hérault
REVE;RG;2011;129.0;0.0;CASA;1114509910;;11145;0;90;6;11;Aude
REVE;RS;2011;49.0;0.0;SYRA;6603909310;;66039;100;0;0;66;Pyrénées-Orientales
REVE;RG;2011;167.0;0.0;PINO;3422500051;;34225;0;90;5;34;Hérault
REVE;RG;2011;396.0;0.0;CASA;3003203520;;30032;0;90;5;30;Gard
REVE;BL;2011;380.0;0.0;CHAR;3008300031;;30083;0;90;7;30;Gard
REVE;BL;2011;1144.0;0.0;SAUV;1128001750;;11280;0;90;6;11;Aude
REVE;BL;2011;438.0;0.0;CHAR;3413906280;;34139;0;90;5;34;Hérault
REVE;RG;2011;395.0;0.0;CASA;3400910000;;34009;0;90;3;34;Hérault
REVE;RS;2011;50.0;0.0;SYRA;3003901580;;30039;100;0;5;30;Gard
REVE;RG;2011;230.0;0.0;CASA;1134201210;;11342;0;90;6;11;Aude
REVE;RG;2011;342.0;0.0;SYRA;3414806350;;34148;0;90;6;34;Hérault
REVE;RS;2011;100.0;0.0;GERS;3422500151;;34225;100;0;5;34;Hérault
REVE;RS;2011;120.0;0.0;GREN;3415505090;;34155;100;0;5;34;Hérault
REVE;BL;2011;50.0;0.0;CHAR;3429000390;;34290;0;90;4;34;Hérault
REVE;BL;2011;50.0;0.0;CHAR;1130700870;;11307;0;90;0;11;Aude
REVE;RG;2011;192.0;0.0;MERL;3411400041;;34114;0;90;3;34;Hérault
REVE;RG;2011;305.0;0.0;CASA;1114501270;;11145;0;90;6;11;Aude
REVE;RG;2011;99.45;0.0;MERL;3014105130;;30141;0;90;5;30;Gard
REVE;RG;2011;370.0;0.0;SYRA;3407406030;;34074;0;90;5;34;Hérault
REVE;BL;2011;780.0;0.0;CHAR;1126226250;;11262;0;90;6;11;Aude
REVE;RG;2011;22.0;0.0;PINO;3413004920;;34130;0;90;2;34;Hérault
REVE;RS;2011;620.0;0.0;CINS;3421010000;;34210;100;0;3;34;Hérault
REVE;BL;2011;35.0;0.0;GEBL;3415714180;;34157;0;90;6;34;Hérault
REVE;BL;2011;24.75;0.0;CHAR;1122000060;;11220;0;90;6;11;Aude
REVE;RS;2011;355.0;0.0;CINS;3400105680;;34001;100;0;5;34;Hérault
REVE;RG;2011;500.0;0.0;CASA;3400105680;;34001;0;90;5;34;Hérault
REVE;BL;2011;392.0;0.0;CHAR;3016613000;;30166;0;90;5;30;Gard
REVE;RS;2011;48.0;0.0;GERS;3406311320;;34063;100;0;3;34;Hérault
REVE;RG;2011;473.0;0.0;CASA;3430020300;;34300;0;90;5;34;Hérault
REVE;RS;2011;1100.0;0.0;CINS;3430020300;;34300;100;0;5;34;Hérault
